experiment,model,reference_concept,concept,direction,comparable,reason,achieved_gap,reference_requested_delta,reference_achieved_delta,reference_baseline,reference_transformed,reference_impact,concept_requested_delta,concept_achieved_delta,concept_baseline,concept_transformed,concept_impact,comparison_outcome,reference_larger,seed
RQ1b,D-slope-of-bridge,Bridge Trend,Density,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,D-slope-of-bridge,Bridge Trend,Churn,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,D-slope-of-bridge,Bridge Trend,Churn,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,A-pure-bridge (mean),Bridge Width,Centralization,increase,True,matched,0.06976744186046539,0.75,0.75,8.0,14.0,8.0,0.02,0.697674418604651,8.0,8.0,0.0,reference_larger,True,3
RQ1b,A-pure-bridge (mean),Bridge Width,Centralization,decrease,True,matched,0.04444444444444452,-0.5,-0.5,8.0,4.0,-8.0,-0.1,-0.5232558139534884,8.0,8.0,0.0,reference_larger,True,3
RQ1b,A-pure-bridge (mean),Bridge Width,Density,increase,True,matched,0.0,0.5,0.5,8.0,12.0,8.0,0.5,0.5,8.0,8.0,0.0,reference_larger,True,3
RQ1b,A-pure-bridge (mean),Bridge Width,Density,decrease,True,matched,0.0,-0.5,-0.5,8.0,4.0,-8.0,-0.5,-0.5,8.0,8.0,0.0,reference_larger,True,3
RQ1b,A-pure-bridge (mean),Bridge Width,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,3
RQ1b,A-pure-bridge (mean),Bridge Width,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,3
RQ1b,A-pure-bridge (mean),Bridge Width,Churn,increase,True,matched,0.005989820681036991,0.9,0.875,8.0,15.0,8.0,0.2,0.8697589069040926,8.0,8.0,0.0,reference_larger,True,3
RQ1b,A-pure-bridge (mean),Bridge Width,Churn,decrease,True,matched,0.012518428174029816,-0.2,-0.25,8.0,6.0,-8.0,-0.3,-0.24687039295649255,8.0,8.0,0.0,reference_larger,True,3
RQ1b,A-persistence (last),Bridge Width,Centralization,increase,True,matched,0.06976744186046539,0.75,0.75,8.0,14.0,8.0,0.02,0.697674418604651,8.0,8.0,0.0,reference_larger,True,3
RQ1b,A-persistence (last),Bridge Width,Centralization,decrease,True,matched,0.04444444444444452,-0.5,-0.5,8.0,4.0,-8.0,-0.1,-0.5232558139534884,8.0,8.0,0.0,reference_larger,True,3
RQ1b,A-persistence (last),Bridge Width,Density,increase,True,matched,0.0,0.5,0.5,8.0,12.0,8.0,0.5,0.5,8.0,8.0,0.0,reference_larger,True,3
RQ1b,A-persistence (last),Bridge Width,Density,decrease,True,matched,0.0,-0.5,-0.5,8.0,4.0,-8.0,-0.5,-0.5,8.0,8.0,0.0,reference_larger,True,3
RQ1b,A-persistence (last),Bridge Width,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,3
RQ1b,A-persistence (last),Bridge Width,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,3
RQ1b,A-persistence (last),Bridge Width,Churn,increase,True,matched,0.005989820681036991,0.9,0.875,8.0,15.0,8.0,0.2,0.8697589069040926,8.0,8.0,0.0,reference_larger,True,3
RQ1b,A-persistence (last),Bridge Width,Churn,decrease,True,matched,0.012518428174029816,-0.2,-0.25,8.0,6.0,-8.0,-0.3,-0.24687039295649255,8.0,8.0,0.0,reference_larger,True,3
