dataset,snapshot_count,model,transformation,direction,requested_delta,achieved_delta,delta_mode,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop,seed
bitcoin_alpha,20,slope_bridge_width,Bridge Width,decrease,-0.25,-0.24874791318864772,relative,-0.8834586466165419,-0.652631578947369,0.23082706766917294,0.9279557955290912,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Centralization,increase,0.25,1.8559794256322335,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Centralization,decrease,-0.25,-0.5872267466780969,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Density,increase,0.25,0.24974515800203875,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Density,decrease,-0.25,-0.24974515800203875,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Bridge Trend,increase,0.25,1.0142857142857147,absolute,-0.8834586466165419,0.13082706766917285,1.0142857142857147,1.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Bridge Trend,decrease,-0.25,-154.6887218045114,absolute,-0.8834586466165419,-155.57218045112793,-154.6887218045114,-1.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Churn,increase,0.25,0.0,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,requested,True,42
bitcoin_alpha,20,slope_bridge_width,Churn,decrease,-0.25,0.0,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,requested,True,42
bitcoin_alpha,20,slope_bridge_width,Bridge Width,increase,0.5,0.5008347245409016,relative,-0.8834586466165419,-1.3105263157894746,-0.4270676691729327,-0.8527117794486221,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Bridge Width,decrease,-0.5,-0.4958263772954925,relative,-0.8834586466165419,-0.4451127819548876,0.4383458646616543,0.8840712893344476,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Centralization,increase,0.5,1.9502786112301758,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Centralization,decrease,-0.5,-0.7458208315473639,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Density,increase,0.5,0.4989806320081551,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Density,decrease,-0.5,-0.4954128440366972,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Bridge Trend,increase,0.5,0.9909774436090231,absolute,-0.8834586466165419,0.10751879699248117,0.9909774436090231,1.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Bridge Trend,decrease,-0.5,-253.37443609022563,absolute,-0.8834586466165419,-254.25789473684216,-253.37443609022563,-1.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Churn,increase,0.5,0.0,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,requested,True,42
